Species*,Exp*,Trt*,Label,Weather,CO2,SowingDate,HarvestDate,SoilName*,Cultivar*,IrrigationTrt,MaxIntercept,InitialBio,InitialTT ,InitialFsolar ,NOTE
potato,WAPA9202,2,Hilite Russet_1992,WAPA9201,350,92102,92223,Loamy sand7,Hilite Russet,1,0.95,1,0,0.001,
potato,WAPA9202,4,Hilite Russet_1993,WAPA9301,350,93096,93228,Loamy sand7,Hilite Russet,2,0.95,1,0,0.001,
potato,WAPA9202,6,Hilite Russet_1994,WAPA9401,350,94095,94227,Loamy sand7,Hilite Russet,3,0.95,1,0,0.001,
potato,WAPA9202,8,Hilite Russet_1995,WAPA9501,350,95095,95225,Loamy sand7,Hilite Russet,4,0.95,1,0,0.001,
cotton,AZMC8901,1,Control,AZMC8901,353,89107,89263,Loamy sand8,Deltapine77,1,0.9,1,0,0.001,Trt2-DSSAT
cotton,AZMC8901,2,High-CO2,AZMC8901,510,89107,89263,Loamy sand8,Deltapine77,2,0.9,1,0,0.001,Trt2-DSSAT
grbean,UFGA0701,1,High N-Opt Irr,UFGA0701,383,7074,7136,Sand2,Bronco Habit 1,1,0.95,1,0,0.001,Trt4-DSSAT
sweetcorn,UFCI0201,1,High-N,UFCI0201,372,2116,2185,Clay1,GSS0966 sh2,0,0.95,1,0,0.001,Trt5-DSSAT
tomato,UFGA9601,1,High-N- Agriset761 CV,UFGA9601,350,96074,96165,Sandy loam2,Agriset761,1,0.9,1,0,0.001,Trt5-DSSAT
tomato,UFBR9401,1,High-N-Irri-SunnySD CV,UFBR9401,350,94060,94160,Clay loam3,SunnySD,1,0.95,1,0,0.001,Trt3-DSSAT
peanut,UFGA8401,1,Irri,UFGA8401,344,84164,84307,Sand3,FLORUNNER,1,0.95,1,0,0.001,Trt1-DSSAT
cassava,CCPA7801,1,CVtrial-Irrig,CCPA7801,350,78349,,Sandy loam3,MCol-1684,1,0.75,1,0,0.001,Trt1-PAnaAnaCV Camili et al 2015
banana,BRBA0503,1,South Brazil,BRBA0503,381,5344,6365,Loamy sand9,Prata An?,1,0.95,1,0,0.001,Trt7-HighN-no foliar fertilization-Smolen and sadi 2008
carrot,CAPO0301,1,South Polonia-N trial-no irrig,CAPO0301,376,3118,3258,Sand4,Kazan F1,0,0.95,1,0,0.001,Trt1-DSSAT
drybean,UFGA8601,1,Portillo Sintet-daily,UFGA8601,350,86084,,Sand5,Porrillo Sintetico,1,0.95,1,0,0.001,Trt2-DSSAT
drybean,UFGA8601,2,Portillo Sintet-4th day,UFGA8601,350,86084,,Sand5,Porrillo Sintetico,2,0.95,1,0,0.001,Trt3-DSSAT
drybean,UFGA8601,3,Portillo Sintet-8th day,UFGA8601,350,86084,,Sand5,Porrillo Sintetico,3,0.95,1,0,0.001,Trt4-DSSAT
drybean,UFGA8601,4,Portillo Sintet-Spec,UFGA8601,350,86084,,Sand5,Porrillo Sintetico,4,0.95,1,0,0.001,
dummy crop,Exp name,1,Dummy label name,Dummy weather,350,95355,,Dummy soil,Dummy cultivar,2,0.95,1,0,0.001,Trt2
bananacol,COLena,1,North Colombia,COLBAN2019,381,18344,19365,Loamy sand9,Cavendish,1,0.95,1,0,0.001,Trt1
cocoa,KOKOlatl,1,North Colombia,KOKOS,400,19193,20008,Loamy sand4,ICS 95,1,0.95,1,0,0.001,Trt1
